chunk_seconds,chunk_steps,stride,vocab_size,scale,total_chunks,avg_naive_tokens,avg_fast_tokens,avg_custom_tokens,compression_fast,compression_custom,generalization_ratio
1.0,10,10,1024,8.0,3488,70.0,27.081422018348626,19.247993119266056,2.584797798009739,3.6367427796892917,0.7107452890112217
1.0,10,10,1024,10.0,3488,70.0,27.081422018348626,32.05590596330275,2.584797798009739,2.1836849683841484,1.1836862163878887
1.0,10,10,1024,12.0,3488,70.0,27.081422018348626,22.904816513761467,2.584797798009739,3.0561257697892157,0.8457759898369679
1.0,10,10,2048,8.0,3488,70.0,27.081422018348626,16.99827981651376,2.584797798009739,4.118063754427391,0.6276730891382595
1.0,10,10,2048,10.0,3488,70.0,27.081422018348626,30.663130733944953,2.584797798009739,2.2828719157012896,1.132257040016938
1.0,10,10,2048,12.0,3488,70.0,27.081422018348626,20.568807339449542,2.584797798009739,3.4032114183764497,0.7595172559813677
1.0,10,10,4096,8.0,3488,70.0,27.081422018348626,15.049885321100918,2.584797798009739,4.651198232178915,0.5557272919754394
1.0,10,10,4096,10.0,3488,70.0,27.081422018348626,29.874713302752294,2.584797798009739,2.3431187201903976,1.1031441880160913
1.0,10,10,4096,12.0,3488,70.0,27.081422018348626,18.425172018348626,2.584797798009739,3.7991504193442975,0.6803620580139742
1.0,10,5,1024,8.0,6182,70.0,26.938207699773535,19.11387900355872,2.5985396200129705,3.662260286725005,0.7095453126125909
1.0,10,5,1024,10.0,6182,70.0,26.938207699773535,31.873827240375284,2.5985396200129705,2.1961592334706967,1.1832200417937695
1.0,10,5,1024,12.0,6182,70.0,26.938207699773535,23.272241992882563,2.5985396200129705,3.007875219818029,0.8639120409290707
1.0,10,5,2048,8.0,6182,70.0,26.938207699773535,16.940148819152377,2.5985396200129705,4.1321951033192015,0.6288521125069055
1.0,10,5,2048,10.0,6182,70.0,26.938207699773535,30.56146878032999,2.5985396200129705,2.290465831441108,1.1345026781639564
1.0,10,5,2048,12.0,6182,70.0,26.938207699773535,20.843416370106763,2.5985396200129705,3.3583745945023047,0.7737491893449908
1.0,10,5,4096,8.0,6182,70.0,26.938207699773535,15.142510514396635,2.5985396200129705,4.622747326703059,0.5621201931160377
1.0,10,5,4096,10.0,6182,70.0,26.938207699773535,29.630378518278874,2.5985396200129705,2.3624402893407943,1.0999387505104123
