chunk_seconds,chunk_steps,stride,vocab_size,scale,total_chunks,avg_naive_tokens,avg_fast_tokens,avg_custom_tokens,compression_fast,compression_custom,generalization_ratio
2.0,20,2,2048,10.0,7231,140.0,50.278799612778315,42.223897109666716,2.784473795679464,3.3156579468821334,0.8397952503809488
2.0,20,2,2048,12.0,7231,140.0,50.278799612778315,45.29760752316415,2.784473795679464,3.0906709571450817,0.900928579680168
2.0,20,2,4096,8.0,7231,140.0,50.278799612778315,30.10911353892961,2.784473795679464,4.649754959374239,0.598843126144909
2.0,20,2,4096,10.0,7231,140.0,50.278799612778315,39.186696169271194,2.784473795679464,3.5726410666327872,0.7793880615899177
2.0,20,2,4096,12.0,7231,140.0,50.278799612778315,42.25681095284193,2.784473795679464,3.313075379877536,0.8404498770512093
2.0,20,1,1024,8.0,13926,140.0,50.22734453540141,37.752477380439466,2.7873263318016885,3.7083659064063865,0.7516319592374754
2.0,20,1,1024,10.0,13926,140.0,50.22734453540141,46.06326296136723,2.7873263318016885,3.039298369232256,0.9170953270066022
2.0,20,1,1024,12.0,13926,140.0,50.22734453540141,49.14103116472785,2.7873263318016885,2.8489430661456763,0.9783720724095238
2.0,20,1,2048,8.0,13926,140.0,50.22734453540141,33.63349131121643,2.7873263318016885,4.1625176139032405,0.669625114015549
2.0,20,1,2048,10.0,13926,140.0,50.22734453540141,42.24709177078845,2.7873263318016885,3.3138375715793607,0.8411173666768649
2.0,20,1,2048,12.0,13926,140.0,50.22734453540141,45.389487289961224,2.7873263318016885,3.0844146598448963,0.9036808079306213
2.0,20,1,4096,8.0,13926,140.0,50.22734453540141,30.22870888984633,2.7873263318016885,4.63135890157139,0.6018376876074033
2.0,20,1,4096,10.0,13926,140.0,50.22734453540141,39.24917420652018,2.7873263318016885,3.566954027194356,0.7814304054807525
2.0,20,1,4096,12.0,13926,140.0,50.22734453540141,42.4232371104409,2.7873263318016885,3.3000782009052347,0.8446243277014179
