Name,tokens_prompt_iter1,tokens_prompt_iter2,tokens_prompt_iter3,tokens_prompt_iter4,tokens_prompt_iter5,tokens_prompt_iter6,tokens_prompt_iter7,tokens_prompt_iter8,tokens_prompt_iter9,tokens_prompt_iter10,tokens_candidates_iter1,tokens_candidates_iter2,tokens_candidates_iter3,tokens_candidates_iter4,tokens_candidates_iter5,tokens_candidates_iter6,tokens_candidates_iter7,tokens_candidates_iter8,tokens_candidates_iter9,tokens_candidates_iter10,tokens_total_iter1,tokens_total_iter2,tokens_total_iter3,tokens_total_iter4,tokens_total_iter5,tokens_total_iter6,tokens_total_iter7,tokens_total_iter8,tokens_total_iter9,tokens_total_iter10,tokens_prompt_sum,tokens_candidates_sum,tokens_total_sum,results
N9_p150_20250626_235855,13466,12337,,,,,,,,,1658,1592,,,,,,,,,22836,33922,,,,,,,,,25803,3250,56758,fail
N9_p150_20250627_000551,17104,15657,,,,,,,,,1658,1658,,,,,,,,,30623,40360,,,,,,,,,32761,3316,70983,fail
N10_p200_20250627_000840,51412,42921,,,,,,,,,2208,2121,,,,,,,,,63580,51476,,,,,,,,,94333,4329,115056,fail
N10_p200_20250627_002136,3119,2854,,,,,,,,,2208,1757,,,,,,,,,13813,21926,,,,,,,,,5973,3965,35739,fail
N10_p200_20250627_003025,7874,6893,12364,,,,,,,,2208,2208,2000,,,,,,,,19860,25814,32489,,,,,,,,27131,6416,78163,fail
N10_p200_20250627_003830,16911,11383,,,,,,,,,2208,1988,,,,,,,,,38491,32979,,,,,,,,,28294,4196,71470,fail
N10_p200_20250627_004533,21666,15653,,,,,,,,,2208,2087,,,,,,,,,32105,42001,,,,,,,,,37319,4295,74106,fail
N6_p30_20250627_011121,1197,972,1934,,,,,,,,338,338,41,,,,,,,,11222,10231,7106,,,,,,,,4103,717,28559,ok
N6_p30_20250627_011514,2600,1710,3337,,,,,,,,338,338,41,,,,,,,,6569,16380,5387,,,,,,,,7647,717,28336,ok
N6_p30_20250627_011808,4003,2448,4740,,,,,,,,338,338,41,,,,,,,,8236,10087,7891,,,,,,,,11191,717,26214,ok
N6_p30_20250627_012155,5406,3186,6143,,,,,,,,338,338,41,,,,,,,,12449,14696,8965,,,,,,,,14735,717,36110,ok
N6_p30_20250627_012755,6809,3924,,,,,,,,,338,338,,,,,,,,,12140,28025,,,,,,,,,10733,676,40165,fail
N7_p60_20250627_013747,8113,4995,9513,5768,,,,,,,668,668,41,668,,,,,,,22289,18357,18544,26535,,,,,,,28389,2045,85725,ok
N7_p60_20250627_014356,10520,6585,,,,,,,,,85,668,,,,,,,,,30643,19974,,,,,,,,,17105,753,50617,fail
N7_p60_20250627_014917,11571,7986,12971,,,,,,,,668,668,85,,,,,,,,17533,20289,20208,,,,,,,,32528,1421,58030,ok
N7_p60_20250627_015818,14022,9387,15422,,,,,,,,668,668,85,,,,,,,,36117,26192,22370,,,,,,,,38831,1421,84679,ok
N7_p60_20250627_020544,16473,10204,,,,,,,,,85,668,,,,,,,,,35642,31752,,,,,,,,,26677,753,67394,fail
N8_p100_20250627_021418,17955,12047,,,,,,,,,1108,1121,,,,,,,,,35646,38457,,,,,,,,,30002,2229,74103,fail
N8_p100_20250627_022125,21143,14343,,,,,,,,,1108,1110,,,,,,,,,28290,32885,,,,,,,,,35486,2218,61175,fail
N10_p200_20250627_123352,2718,2453,6406,,,,,,,,1807,1807,1645,,,,,,,,15696,21409,21214,,,,,,,,11577,5259,58319,fail
N10_p200_20250627_124402,10197,6141,13669,,,,,,,,1807,1591,1808,,,,,,,,19039,29189,39299,,,,,,,,30007,5206,87527,fail
N10_p200_20250627_125041,17623,9613,,,,,,,,,1807,1519,,,,,,,,,26648,33058,,,,,,,,,27236,3326,59706,fail
N10_p200_20250627_130047,21576,13013,25264,,,,,,,,1807,1807,1807,,,,,,,,34870,35234,48167,,,,,,,,59853,5421,118271,fail
N10_p200_20250627_130718,29217,16701,,,,,,,,,1807,1645,,,,,,,,,44275,33184,,,,,,,,,45918,3452,77459,fail
N5_p30_20250627_133235,1186,968,1919,1702,2655,2436,,,,,338,338,338,338,338,338,,,,,7045,19364,20645,24919,8605,27171,,,,,10866,2028,107749,fail
N5_p30_20250627_133801,3607,3170,,,,,,,,,338,338,,,,,,,,,11860,26206,,,,,,,,,6777,676,38066,fail
N5_p30_20250627_135027,4559,3904,5292,4638,,,,,,,338,338,338,338,,,,,,,9818,31219,17827,36989,,,,,,,18393,1352,95853,fail
N5_p30_20250627_135420,6244,5372,,,,,,,,,338,338,,,,,,,,,10000,23898,,,,,,,,,11616,676,33898,fail
N5_p30_20250627_140922,7196,6106,7929,6840,8662,7574,,,,,338,338,338,338,338,338,,,,,12924,21524,24828,23538,22154,33817,,,,,44307,2028,138785,fail
N5_p30_20250627_133441,1120,902,1721,,,,,,,,272,272,263,,,,,,,,7127,12632,17771,,,,,,,,3743,807,37530,ok
N5_p30_20250627_134131,2532,1504,3133,,,,,,,,272,272,263,,,,,,,,5793,25661,18041,,,,,,,,7169,807,49495,ok
N5_p30_20250627_134802,3944,2106,4545,,,,,,,,272,272,263,,,,,,,,10889,19179,13768,,,,,,,,10595,807,43836,ok
N5_p30_20250627_135408,5356,2708,5957,,,,,,,,272,272,263,,,,,,,,17956,13743,18425,,,,,,,,14021,807,50124,ok
N5_p30_20250627_135912,6768,3310,7369,,,,,,,,272,272,263,,,,,,,,11131,21165,13838,,,,,,,,17447,807,46134,ok
N8_p100_20250627_142624,1785,1541,3656,,,,,,,,902,902,497,,,,,,,,14031,18489,18756,,,,,,,,6982,2301,51276,ok
N8_p100_20250627_143603,5366,3412,7237,,,,,,,,902,902,497,,,,,,,,14927,23594,30485,,,,,,,,16015,2301,69006,ok
N8_p100_20250627_143844,8947,,,,,,,,,,497,,,,,,,,,,19988,,,,,,,,,,8947,497,19988,fail
