Name,tokens_prompt_iter1,tokens_prompt_iter2,tokens_prompt_iter3,tokens_prompt_iter4,tokens_prompt_iter5,tokens_prompt_iter6,tokens_prompt_iter7,tokens_prompt_iter8,tokens_prompt_iter9,tokens_prompt_iter10,tokens_candidates_iter1,tokens_candidates_iter2,tokens_candidates_iter3,tokens_candidates_iter4,tokens_candidates_iter5,tokens_candidates_iter6,tokens_candidates_iter7,tokens_candidates_iter8,tokens_candidates_iter9,tokens_candidates_iter10,tokens_total_iter1,tokens_total_iter2,tokens_total_iter3,tokens_total_iter4,tokens_total_iter5,tokens_total_iter6,tokens_total_iter7,tokens_total_iter8,tokens_total_iter9,tokens_total_iter10,tokens_prompt_sum,tokens_candidates_sum,tokens_total_sum,results
N10_p200_20250626_210130,765,764,,,,,,,,,2208,1508,,,,,,,,,8642,19617,,,,,,,,,1529,3716,28259,fail
N5_p30_20250626_213809,719,717,,,,,,,,,275,275,,,,,,,,,7015,14706,,,,,,,,,1436,550,21721,fail
N5_p30_20250626_213926,719,717,,,,,,,,,338,14,,,,,,,,,6793,2818,,,,,,,,,1436,352,9611,ok
N5_p30_20250626_214749,719,717,717,,,,,,,,275,338,14,,,,,,,,6322,18858,12312,,,,,,,,2153,627,37492,ok
N5_p30_20250626_215546,719,717,716,720,,,,,,,338,338,338,86,,,,,,,7776,17277,16815,10136,,,,,,,2872,1100,52004,ok
N5_p30_20250626_220022,719,717,716,,,,,,,,275,338,327,,,,,,,,4794,12095,14362,,,,,,,,2152,940,31251,ok
N5_p30_20250626_220836,719,717,717,718,,,,,,,275,275,275,149,,,,,,,7422,16345,21247,10321,,,,,,,2871,974,55335,ok
N5_p30_20250626_221153,719,717,,,,,,,,,275,338,,,,,,,,,6978,14539,,,,,,,,,1436,613,21517,fail
N5_p30_20250626_222121,719,717,,,,,,,,,275,338,,,,,,,,,5673,16905,,,,,,,,,1436,613,22578,fail
N5_p30_20250626_222337,719,717,,,,,,,,,275,14,,,,,,,,,6381,8640,,,,,,,,,1436,289,15021,ok
N5_p30_20250626_222540,719,717,,,,,,,,,270,14,,,,,,,,,6574,7330,,,,,,,,,1436,284,13904,ok
N6_p30_20250626_223613,727,729,728,,,,,,,,275,275,32,,,,,,,,7280,8671,4859,,,,,,,,2184,582,20810,ok
N6_p30_20250626_225318,727,729,724,731,725,725,728,725,,,275,275,275,338,275,338,338,518,,,6799,13478,9482,15136,10319,25276,14199,21152,,,5814,2632,115841,fail
